"Notes"	"Year"	"Year Code"	"Month"	"Month Code"	"County"	"County Code"	Deaths	Population	Crude Rate
	"2010"	"2010"	"Jan., 2010"	"2010/01"	"Maricopa County, AZ"	"04013"	42	Not Applicable	Not Applicable
	"2010"	"2010"	"Jan., 2010"	"2010/01"	"Pima County, AZ"	"04019"	16	Not Applicable	Not Applicable
	"2010"	"2010"	"Jan., 2010"	"2010/01"	"Alameda County, CA"	"06001"	11	Not Applicable	Not Applicable
	"2010"	"2010"	"Jan., 2010"	"2010/01"	"Kern County, CA"	"06029"	13	Not Applicable	Not Applicable
	"2010"	"2010"	"Jan., 2010"	"2010/01"	"Los Angeles County, CA"	"06037"	65	Not Applicable	Not Applicable
	"2010"	"2010"	"Jan., 2010"	"2010/01"	"Orange County, CA"	"06059"	35	Not Applicable	Not Applicable
	"2010"	"2010"	"Jan., 2010"	"2010/01"	"Riverside County, CA"	"06065"	14	Not Applicable	Not Applicable
	"2010"	"2010"	"Jan., 2010"	"2010/01"	"Sacramento County, CA"	"06067"	15	Not Applicable	Not Applicable
	"2010"	"2010"	"Jan., 2010"	"2010/01"	"San Bernardino County, CA"	"06071"	14	Not Applicable	Not Applicable
	"2010"	"2010"	"Jan., 2010"	"2010/01"	"San Diego County, CA"	"06073"	28	Not Applicable	Not Applicable
	"2010"	"2010"	"Jan., 2010"	"2010/01"	"San Francisco County, CA"	"06075"	16	Not Applicable	Not Applicable
	"2010"	"2010"	"Jan., 2010"	"2010/01"	"Arapahoe County, CO"	"08005"	11	Not Applicable	Not Applicable
	"2010"	"2010"	"Jan., 2010"	"2010/01"	"Denver County, CO"	"08031"	15	Not Applicable	Not Applicable
	"2010"	"2010"	"Jan., 2010"	"2010/01"	"Brevard County, FL"	"12009"	12	Not Applicable	Not Applicable
	"2010"	"2010"	"Jan., 2010"	"2010/01"	"Broward County, FL"	"12011"	36	Not Applicable	Not Applicable
	"2010"	"2010"	"Jan., 2010"	"2010/01"	"Hillsborough County, FL"	"12057"	27	Not Applicable	Not Applicable
	"2010"	"2010"	"Jan., 2010"	"2010/01"	"Lee County, FL"	"12071"	11	Not Applicable	Not Applicable
	"2010"	"2010"	"Jan., 2010"	"2010/01"	"Orange County, FL"	"12095"	14	Not Applicable	Not Applicable
	"2010"	"2010"	"Jan., 2010"	"2010/01"	"Palm Beach County, FL"	"12099"	13	Not Applicable	Not Applicable
	"2010"	"2010"	"Jan., 2010"	"2010/01"	"Pasco County, FL"	"12101"	17	Not Applicable	Not Applicable
	"2010"	"2010"	"Jan., 2010"	"2010/01"	"Pinellas County, FL"	"12103"	27	Not Applicable	Not Applicable
	"2010"	"2010"	"Jan., 2010"	"2010/01"	"Polk County, FL"	"12105"	12	Not Applicable	Not Applicable
	"2010"	"2010"	"Jan., 2010"	"2010/01"	"Sarasota County, FL"	"12115"	10	Not Applicable	Not Applicable
	"2010"	"2010"	"Jan., 2010"	"2010/01"	"Volusia County, FL"	"12127"	11	Not Applicable	Not Applicable
	"2010"	"2010"	"Jan., 2010"	"2010/01"	"Fulton County, GA"	"13121"	11	Not Applicable	Not Applicable
	"2010"	"2010"	"Jan., 2010"	"2010/01"	"Honolulu County, HI"	"15003"	12	Not Applicable	Not Applicable
	"2010"	"2010"	"Jan., 2010"	"2010/01"	"Cook County, IL"	"17031"	40	Not Applicable	Not Applicable
	"2010"	"2010"	"Jan., 2010"	"2010/01"	"Marion County, IN"	"18097"	11	Not Applicable	Not Applicable
	"2010"	"2010"	"Jan., 2010"	"2010/01"	"Jefferson County, KY"	"21111"	11	Not Applicable	Not Applicable
	"2010"	"2010"	"Jan., 2010"	"2010/01"	"Baltimore County, MD"	"24005"	11	Not Applicable	Not Applicable
	"2010"	"2010"	"Jan., 2010"	"2010/01"	"Baltimore city, MD"	"24510"	12	Not Applicable	Not Applicable
	"2010"	"2010"	"Jan., 2010"	"2010/01"	"Middlesex County, MA"	"25017"	11	Not Applicable	Not Applicable
	"2010"	"2010"	"Jan., 2010"	"2010/01"	"Worcester County, MA"	"25027"	11	Not Applicable	Not Applicable
	"2010"	"2010"	"Jan., 2010"	"2010/01"	"Genesee County, MI"	"26049"	10	Not Applicable	Not Applicable
	"2010"	"2010"	"Jan., 2010"	"2010/01"	"Wayne County, MI"	"26163"	18	Not Applicable	Not Applicable
	"2010"	"2010"	"Jan., 2010"	"2010/01"	"Hennepin County, MN"	"27053"	13	Not Applicable	Not Applicable
	"2010"	"2010"	"Jan., 2010"	"2010/01"	"St. Louis County, MO"	"29189"	12	Not Applicable	Not Applicable
	"2010"	"2010"	"Jan., 2010"	"2010/01"	"Clark County, NV"	"32003"	26	Not Applicable	Not Applicable
	"2010"	"2010"	"Jan., 2010"	"2010/01"	"Union County, NJ"	"34039"	10	Not Applicable	Not Applicable
	"2010"	"2010"	"Jan., 2010"	"2010/01"	"Bernalillo County, NM"	"35001"	16	Not Applicable	Not Applicable
	"2010"	"2010"	"Jan., 2010"	"2010/01"	"Bronx County, NY"	"36005"	11	Not Applicable	Not Applicable
	"2010"	"2010"	"Jan., 2010"	"2010/01"	"Erie County, NY"	"36029"	10	Not Applicable	Not Applicable
	"2010"	"2010"	"Jan., 2010"	"2010/01"	"Kings County, NY"	"36047"	23	Not Applicable	Not Applicable
	"2010"	"2010"	"Jan., 2010"	"2010/01"	"New York County, NY"	"36061"	10	Not Applicable	Not Applicable
	"2010"	"2010"	"Jan., 2010"	"2010/01"	"Queens County, NY"	"36081"	13	Not Applicable	Not Applicable
	"2010"	"2010"	"Jan., 2010"	"2010/01"	"Suffolk County, NY"	"36103"	11	Not Applicable	Not Applicable
	"2010"	"2010"	"Jan., 2010"	"2010/01"	"Wake County, NC"	"37183"	10	Not Applicable	Not Applicable
	"2010"	"2010"	"Jan., 2010"	"2010/01"	"Cuyahoga County, OH"	"39035"	15	Not Applicable	Not Applicable
	"2010"	"2010"	"Jan., 2010"	"2010/01"	"Franklin County, OH"	"39049"	16	Not Applicable	Not Applicable
	"2010"	"2010"	"Jan., 2010"	"2010/01"	"Hamilton County, OH"	"39061"	14	Not Applicable	Not Applicable
	"2010"	"2010"	"Jan., 2010"	"2010/01"	"Oklahoma County, OK"	"40109"	12	Not Applicable	Not Applicable
	"2010"	"2010"	"Jan., 2010"	"2010/01"	"Tulsa County, OK"	"40143"	14	Not Applicable	Not Applicable
	"2010"	"2010"	"Jan., 2010"	"2010/01"	"Multnomah County, OR"	"41051"	12	Not Applicable	Not Applicable
	"2010"	"2010"	"Jan., 2010"	"2010/01"	"Allegheny County, PA"	"42003"	16	Not Applicable	Not Applicable
	"2010"	"2010"	"Jan., 2010"	"2010/01"	"Montgomery County, PA"	"42091"	11	Not Applicable	Not Applicable
	"2010"	"2010"	"Jan., 2010"	"2010/01"	"Philadelphia County, PA"	"42101"	26	Not Applicable	Not Applicable
	"2010"	"2010"	"Jan., 2010"	"2010/01"	"Providence County, RI"	"44007"	10	Not Applicable	Not Applicable
	"2010"	"2010"	"Jan., 2010"	"2010/01"	"Sevier County, TN"	"47155"	10	Not Applicable	Not Applicable
	"2010"	"2010"	"Jan., 2010"	"2010/01"	"Shelby County, TN"	"47157"	12	Not Applicable	Not Applicable
	"2010"	"2010"	"Jan., 2010"	"2010/01"	"Bexar County, TX"	"48029"	15	Not Applicable	Not Applicable
	"2010"	"2010"	"Jan., 2010"	"2010/01"	"Dallas County, TX"	"48113"	15	Not Applicable	Not Applicable
	"2010"	"2010"	"Jan., 2010"	"2010/01"	"Harris County, TX"	"48201"	32	Not Applicable	Not Applicable
	"2010"	"2010"	"Jan., 2010"	"2010/01"	"Salt Lake County, UT"	"49035"	15	Not Applicable	Not Applicable
	"2010"	"2010"	"Jan., 2010"	"2010/01"	"King County, WA"	"53033"	14	Not Applicable	Not Applicable
	"2010"	"2010"	"Jan., 2010"	"2010/01"	"Snohomish County, WA"	"53061"	13	Not Applicable	Not Applicable
	"2010"	"2010"	"Jan., 2010"	"2010/01"	"Dane County, WI"	"55025"	12	Not Applicable	Not Applicable
	"2010"	"2010"	"Jan., 2010"	"2010/01"	"Milwaukee County, WI"	"55079"	14	Not Applicable	Not Applicable
"Total"	"2010"	"2010"	"Jan., 2010"	"2010/01"			3272	Not Applicable	Not Applicable
	"2010"	"2010"	"Feb., 2010"	"2010/02"	"Maricopa County, AZ"	"04013"	31	Not Applicable	Not Applicable
	"2010"	"2010"	"Feb., 2010"	"2010/02"	"Pima County, AZ"	"04019"	14	Not Applicable	Not Applicable
	"2010"	"2010"	"Feb., 2010"	"2010/02"	"Butte County, CA"	"06007"	10	Not Applicable	Not Applicable
	"2010"	"2010"	"Feb., 2010"	"2010/02"	"Fresno County, CA"	"06019"	14	Not Applicable	Not Applicable
	"2010"	"2010"	"Feb., 2010"	"2010/02"	"Kern County, CA"	"06029"	15	Not Applicable	Not Applicable
	"2010"	"2010"	"Feb., 2010"	"2010/02"	"Los Angeles County, CA"	"06037"	45	Not Applicable	Not Applicable
	"2010"	"2010"	"Feb., 2010"	"2010/02"	"Orange County, CA"	"06059"	24	Not Applicable	Not Applicable
	"2010"	"2010"	"Feb., 2010"	"2010/02"	"Riverside County, CA"	"06065"	33	Not Applicable	Not Applicable
	"2010"	"2010"	"Feb., 2010"	"2010/02"	"Sacramento County, CA"	"06067"	24	Not Applicable	Not Applicable
	"2010"	"2010"	"Feb., 2010"	"2010/02"	"San Diego County, CA"	"06073"	24	Not Applicable	Not Applicable
	"2010"	"2010"	"Feb., 2010"	"2010/02"	"San Francisco County, CA"	"06075"	14	Not Applicable	Not Applicable
	"2010"	"2010"	"Feb., 2010"	"2010/02"	"Santa Clara County, CA"	"06085"	18	Not Applicable	Not Applicable
	"2010"	"2010"	"Feb., 2010"	"2010/02"	"Stanislaus County, CA"	"06099"	10	Not Applicable	Not Applicable
	"2010"	"2010"	"Feb., 2010"	"2010/02"	"Ventura County, CA"	"06111"	13	Not Applicable	Not Applicable
	"2010"	"2010"	"Feb., 2010"	"2010/02"	"New Haven County, CT"	"09009"	15	Not Applicable	Not Applicable
	"2010"	"2010"	"Feb., 2010"	"2010/02"	"District of Columbia, DC"	"11001"	10	Not Applicable	Not Applicable
	"2010"	"2010"	"Feb., 2010"	"2010/02"	"Broward County, FL"	"12011"	21	Not Applicable	Not Applicable
	"2010"	"2010"	"Feb., 2010"	"2010/02"	"Hillsborough County, FL"	"12057"	16	Not Applicable	Not Applicable
	"2010"	"2010"	"Feb., 2010"	"2010/02"	"Lee County, FL"	"12071"	12	Not Applicable	Not Applicable
	"2010"	"2010"	"Feb., 2010"	"2010/02"	"Orange County, FL"	"12095"	16	Not Applicable	Not Applicable
	"2010"	"2010"	"Feb., 2010"	"2010/02"	"Palm Beach County, FL"	"12099"	17	Not Applicable	Not Applicable
	"2010"	"2010"	"Feb., 2010"	"2010/02"	"Pasco County, FL"	"12101"	14	Not Applicable	Not Applicable
	"2010"	"2010"	"Feb., 2010"	"2010/02"	"Pinellas County, FL"	"12103"	20	Not Applicable	Not Applicable
	"2010"	"2010"	"Feb., 2010"	"2010/02"	"Polk County, FL"	"12105"	10	Not Applicable	Not Applicable
	"2010"	"2010"	"Feb., 2010"	"2010/02"	"Fulton County, GA"	"13121"	10	Not Applicable	Not Applicable
	"2010"	"2010"	"Feb., 2010"	"2010/02"	"Cook County, IL"	"17031"	26	Not Applicable	Not Applicable
	"2010"	"2010"	"Feb., 2010"	"2010/02"	"Winnebago County, IL"	"17201"	12	Not Applicable	Not Applicable
	"2010"	"2010"	"Feb., 2010"	"2010/02"	"Marion County, IN"	"18097"	11	Not Applicable	Not Applicable
	"2010"	"2010"	"Feb., 2010"	"2010/02"	"Baltimore County, MD"	"24005"	14	Not Applicable	Not Applicable
	"2010"	"2010"	"Feb., 2010"	"2010/02"	"Baltimore city, MD"	"24510"	15	Not Applicable	Not Applicable
	"2010"	"2010"	"Feb., 2010"	"2010/02"	"Middlesex County, MA"	"25017"	12	Not Applicable	Not Applicable
	"2010"	"2010"	"Feb., 2010"	"2010/02"	"Worcester County, MA"	"25027"	15	Not Applicable	Not Applicable
	"2010"	"2010"	"Feb., 2010"	"2010/02"	"Macomb County, MI"	"26099"	16	Not Applicable	Not Applicable
	"2010"	"2010"	"Feb., 2010"	"2010/02"	"Wayne County, MI"	"26163"	24	Not Applicable	Not Applicable
